,Subheading,Topic ,
HTML/CSS/Git/Github,Orientation and installation,,
,HTML & css intro ,,
,css in depth ,,
,Building our first website,,
,Git for developers,,
,"Deployment in gh-pages
",,
JS in Term,JS,JS class -1,
,JS,JS class -1,
,JS,JS class-2,
,FS,Nodejs Intro,PROJECT-1
,FS,File manager,
,JS interview-1,Hoisting & var let const,
,HW,WCAT ,
,Webscraping,Web scraping Intro (Done till here),PROJECT-2
,Webscraping,cricinfo ,
,Webscraping,Githubscraper,
,JS interview-2,callbacks and async achitecture,
,Automation,Promises and intro to automation,PROJECT-3
,Automation,Hackerank code submission,
,Automation,Hackerank code submission,
,JS interview-3,Promises ,
,Automation,Introduction to async await ,
,Automation,Youtube Playlist Analyzer,
,JS interview-4,Closure and Async await ,
,HW, Price comparison script,
,DOM& CSS POCs,css pocs,
JS in Browser,DOM& CSS POCs,dom pocs,
,DOM& CSS POCs,Simple Todo App,
,HW ,Css and Dom Pocs,
,Jira Ticket Management Clone,,PROJECT-4
,Jira Ticket Management Clone,dynamic tickets & it's functionality,
,Jira Ticket Management Clone,Local storage &modal,
,HW ,Josh's Assignment,
,Excel clone,Basic Structure of Excel & address,PROJECT-5
,Excel clone,Excel menus,
,Excel clone,Excel  formula,
,Excel Clone,Excel New open download ,
,Hw ,Excel menus and some styling ,
,Camera App,Camera and video,PROJECT-6
,Camera App,Filters and zoom in zoom out,
,Camera App,Gallery ans styling,
,Camera App,indexdb,
,HW ,openboard,
,Browser Interview ,debouncing and throttling,
,Intro to react,JS for react,
React,Intro to react,react without build tools,
,Intro to react,todo app for flow,
,Movies App,,PROJECT-7
,Movies App,,
,Movies App,,
,Movies App,,
,React Pocs,React Hooks and lifecycle,
,React Pocs,React context and firebase login ,
,React Pocs,Material ui Pocs,
,React Test ,,
,Insta reels,,Project-8
,Insta reels,,
,Insta reels,,
,Insta reels,,
,Insta reels,,
,Insta reels,,
,Redux Pocs,redux lifecycle ,
,Redux Pocs/shopping cart,async redux& firbase auth ,
,Redux Pocs,Shopping cart app ,Project-9
,Resume Builder,,Project-10
,Resume Builder,,
,Resume Builder,,
,Resume Builder,,
,React IP,,
Frontend IP,React IP,,
,React IP,,
,React IP,,
,JS IP,,
,JS IP,,
,JS IP,,
,JS IP,,
,Browser IP,,
,Browser IP,,
,Browser IP,,
,Food App,Module intro and installation,Project-11
Backend,Food App,Basic express server&crud,
,Food App,plans and database intro ,
,Food App,query parameter and filtering,
,Food App,"auth -> login ,logout , protect route",
,Food App,forget and reset and nodemailer,
,Food App,review ,
,Food App,booking ,
,Food App,razorpay and payments,
,Food App,cors and other concepts,
,Food App,Integrating with frontend,
,Food App,Deployment,
,SQL,installation and  overview,
,SQL,Create and insert,
,SQL,"SELECT, UPDATE AND DELETE ",
,SQL,"Left, Right Full and Cross Join   ",
,SQL,Working on cloud with Sql ,
,SQL,Alter table Variations and Primary Key Foreign Key Explained  | On Delete and On Update ,
,SQL,Subqueries in SQL ,
,SQL,Transactions in SQL ,
,SQL,Triggers and functions,
,Insta reels Backend," Login, Signup",
,Insta reels Backend,"Posts, like, ",
,Insta reels Backend,"comments , friend request",
,Backend IP,,
,Backend IP,,
,Backend IP,,
,Backend IP,,
,Git for Devs, git basics,
GIT,Git for Devs,using git in teams,
,Git for Devs,undoing in git ,